id,comment,like,timestamp
nukapicaciu,老公那個表情動作就是欠打!,0,2022-01-06T15:33:07.000Z
lingzhi.yuan,😂😂😂,0,2022-01-06T03:22:43.000Z
teresahwang,丈夫會不會想太多!哈!哈!哈!,0,2022-01-05T13:40:25.000Z
qqoobb2233,😂😂😂😂😂😂,0,2022-01-05T12:04:26.000Z
qqoobb2233,😂,0,2022-01-05T12:04:20.000Z
bobbiewu,@chun_ping175 😂😂😂😂😂,0,2022-01-05T09:08:57.000Z
aria_lmk,@derekwuuuuuuuu,1 ,2022-01-05T05:37:05.000Z
yningyuan,😂😂😂,0,2022-01-05T00:06:51.000Z
giorykuo,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2022-01-04T22:44:55.000Z
steph566888,😂,0,2022-01-04T21:16:37.000Z
p40125,@shiqijian,0,2022-01-04T20:23:19.000Z
animalia_topia,Febuxostat 正在吃這種，比Allopurinol安全，也不像Benzbromarone會有腎結石。但我一開始吃Febuxostat的時候還是有過敏反應，只是沒有很強烈。尿酸從9降到4.5，飲食無控制,1 ,2022-01-04T14:54:26.000Z
chenshaoran1,😂😂😂😂,0,2022-01-04T12:38:55.000Z
vfatjeff_liu,簡單...把痛得位置在打得更痛就好了😂😂😂😂😂,1 ,2022-01-04T10:35:54.000Z
yy118094,男方有点紧张哦，是不是有问题😂,0,2022-01-04T09:59:44.000Z
yahsin.liu,😂😂😂,0,2022-01-04T09:18:08.000Z
_yc._.0616,不是無條件喔，要外送費,2 ,2022-01-04T09:16:57.000Z
dog_friends77,哈哈😆好像是這樣沒錯耶！,0,2022-01-04T09:04:35.000Z
_pj1202,差點就被套出話來😂,0,2022-01-04T09:00:20.000Z
mi_familys,@bobbiewu,0,2022-01-04T06:45:22.000Z
arvin.chiu,配合斷食 就會慢慢改善,0,2022-01-04T06:27:18.000Z
henry__kingsman,@neal_damien,0,2022-01-04T06:21:53.000Z
fkmmantuo,@__yyyen_webber1993,0,2022-01-04T05:49:13.000Z
nono1989tw,我老公曾經也是痛風，但後來只做45天的飲食管理就讓尿酸降到正常值了❤️痛風痛起來真的很可怕,3 ,2022-01-04T05:35:44.000Z
wai.wongsiu,😂,0,2022-01-04T05:30:30.000Z
wutc_douglas,痛風唯一治療方法：瘦身，忌口，多喝水+輕運動。醫院的藥只能抑制不能讓你痊癒啊（痛風20年患者留,6 ,2022-01-04T05:24:58.000Z
old_money_collector340,如果您有舊港元（包括鈔票或硬幣）並想將其全部出售，請給我發私人消息，我知道有些人想知道我們需要什麼舊貨幣或為什麼我們應該以高價購買， 有了您的回答，我們（NGC）的收藏家已經與博物館結成了聯盟。 他們y來自不同國家的舊錢，但現在香港要買的是香港舊錢。所以，如果手頭有舊硬幣，可以給我一個消息，我將以每隻港幣9,000元的價格購買 硬幣和每張鈔票10,000港,0,2022-01-04T05:21:19.000Z
hahaha_isaac,差點以為她發覺了,0,2022-01-04T04:55:57.000Z
karena_ting,哈哈😆,1 ,2022-01-04T04:51:41.000Z
renjianrenai.duguqiubai,因為老婆幫我買不用給錢！就熊貓搞不好還要給小費,1 ,2022-01-04T04:49:05.000Z
ws443798,其實颱風天沒有外送喔,1 ,2022-01-04T04:48:38.000Z
sus051,😂😂😂,0,2022-01-04T04:45:15.000Z
chi65826,只推「福避痛」膜衣錠,0,2022-01-04T04:40:18.000Z
3721_island,請問有什麼穩定痛風的藥嗎？有相關訊息嗎？,5 ,2022-01-04T04:40:16.000Z
the_normal_man_life,外送員有條件的啊  要錢啊,0,2022-01-04T04:39:40.000Z
suk0520,😂,0,2022-01-04T04:37:44.000Z
_hua1120,@ange870317,0,2022-01-04T04:35:25.000Z
banai_design,痛風治療的關鍵與飲食控制和穩定服藥有關不然痛風發作，可能會腫到沒辦法穿鞋、無法睡覺唷！,30 ,2022-01-04T04:33:42.000Z
