id,comment,like,timestamp
dufu_0822,藉口滿滿的藉口😂,1 ,2021-12-04T09:27:47.000Z
wai.wongsiu,😂,0,2021-12-04T05:52:33.000Z
jackjack5319,😂,0,2021-12-04T00:07:56.000Z
chris_870312,@w__u__j__i__n__g 這個是在暗示要去一起洗啦！唉～～～,1 ,2021-12-03T21:48:26.000Z
ryanray1686,how are ypu,0,2021-12-03T14:31:06.000Z
homeboy_talk,快笑死,0,2021-12-03T10:58:20.000Z
vj1234kimo,@babediesel 還好妳沒浪費水🤣🤣🤣,1 ,2021-12-03T10:55:26.000Z
yuzhen6708,🤣🤣🤣,0,2021-12-03T08:21:56.000Z
rileylea,也許節儉到不開冷氣，當然要多沖幾次；也許隔壁住在美人魚，一直泡在浴缸,2 ,2021-12-03T07:54:33.000Z
lisa6966168,👏🔥,0,2021-12-03T06:59:37.000Z
ktkt5411,😂😂😂,0,2021-12-03T05:39:32.000Z
nine.520_,我都會說我要去大便了💩🤭,0,2021-12-03T04:38:11.000Z
abc5674848yuri,我都懶的回應不需要客套😂😂,0,2021-12-03T01:16:30.000Z
vickey0809,戳中我的笑點😂😂😂,0,2021-12-03T00:32:24.000Z
willie0504,洗澡卡⋯發動！😂,1 ,2021-12-02T16:46:04.000Z
leave2you,那個男的可能會一直遇到喜歡洗澡的女生喔 😜😜,2 ,2021-12-02T16:04:38.000Z
master.thomas.private,@hayashi_0918 你看看，你讓多少學妹浪費水了,0,2021-12-02T15:58:31.000Z
hxh5858,跟你讲的事，你告诉别人😷,0,2021-12-02T15:53:46.000Z
janet12.tw,😂😂😂,0,2021-12-02T15:03:44.000Z
riefu518,單純😂,0,2021-12-02T14:49:31.000Z
amy_l_2019,好笑😂,0,2021-12-02T13:54:55.000Z
sandy.7958,😂,0,2021-12-02T11:59:27.000Z
a262320,嗯嗯 哈哈 去洗澡。打槍金句,0,2021-12-02T11:47:39.000Z
cutemama.fang,😂😂😂,0,2021-12-02T11:42:13.000Z
sabrina081174,😂😂😂😂😂,0,2021-12-02T11:10:24.000Z
yenwenger,哈哈哈哈,0,2021-12-02T11:01:36.000Z
dindon1216,😂,0,2021-12-02T10:20:19.000Z
milk_tea139,😂😂😂,0,2021-12-02T09:43:20.000Z
qwe78810,😂😂😂,0,2021-12-02T09:22:13.000Z
yuchuann____,好人卡啊,0,2021-12-02T08:46:08.000Z
yuchuann____,😂😂😂😂😂😂😂😂,0,2021-12-02T08:45:56.000Z
charlottelove2020,😂😂😂😂😂😂😂,0,2021-12-02T08:40:27.000Z
mars_zuckberg,靜香/宜靜,0,2021-12-02T08:36:44.000Z
jean430825,😂😂,0,2021-12-02T08:02:02.000Z
emma_wei0107,哈哈哈哈哈哈😂,0,2021-12-02T07:59:54.000Z
linziyang19840922,😂,0,2021-12-02T07:39:22.000Z
0ograceo0,洗澡卡😂,0,2021-12-02T07:16:33.000Z
0117ninalin,就是不想聊天才這麼說的，你不了解嗎？,1 ,2021-12-02T07:06:42.000Z
d221683sister,💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯,1 ,2021-12-02T06:46:43.000Z
jerry__kuo,靜香？？,1 ,2021-12-02T06:35:17.000Z
pungoya,😂😂😂😂😂,0,2021-12-02T05:43:55.000Z
yutian5973,@derack_wang216,0,2021-12-02T05:32:36.000Z
tom_liou,一天可以和她說上十次的話，你該滿足了,1 ,2021-12-02T05:24:00.000Z
mingche_yu,😅🤣😂,0,2021-12-02T05:19:04.000Z
steph566888,😂😂,0,2021-12-02T05:09:28.000Z
