id,comment,like,timestamp
vivian1202,剛做了 好好吃呦,0,2022-03-13T05:08:38.000Z
vivian1202,麵包粉可以用麵粉取代嗎,0,2022-03-12T03:51:48.000Z
michelle_ashely8,我的最爱❤️,0,2022-01-14T21:51:55.000Z
ashley_shiyun,@yunhui19,0,2022-01-13T09:50:11.000Z
miss154,真的很容易又好吃👏👏👏,0,2022-01-09T09:35:52.000Z
clairetsai08,請問煎松露海鹽蛋捲的松露是怎麼做的？,0,2022-01-08T04:25:57.000Z
heerochi17,The Cat ! too much cute 🥰,0,2022-01-08T00:30:07.000Z
shinn812,煎肉餅的時候都會散掉怎麼辦😭是拌的不夠久嗎？,0,2022-01-07T13:38:06.000Z
fish03150811,這個好棒❤️,0,2022-01-07T11:31:06.000Z
huini_si,没有面包粉 可以用别的代替吗,0,2022-01-07T10:45:30.000Z
a1i_c,看起來超好吃的 🤤 請問這種肉餅中的蛋液可以不加，還是用什麼取代嗎？(對蛋過敏),0,2022-01-07T10:18:26.000Z
sun.016,那個表情太可愛了！,0,2022-01-07T09:25:28.000Z
lillianzengll,👍👍👍😍😍😍,0,2022-01-07T09:21:16.000Z
cat600906,謝謝貝蒂的分享喔❤️,0,2022-01-07T08:38:10.000Z
sjshu2002,ㄅ,0,2022-01-07T08:26:36.000Z
toh.sumiati_yekcen,😍😍😍,0,2022-01-07T08:25:04.000Z
zezechu_,謝謝貝蒂～寫的超好，而且照片還神還原（感動中🥲,1 ,2022-01-07T08:19:02.000Z
littlemusician_2009,肉餅系列非常強大 讓我因為肉餅系列更有口福❤️,0,2022-01-07T08:15:36.000Z
joy_food_in_life,🤣 噗醬真的太引人注目了....(不小心又把眼睛瞄向牠),2 ,2022-01-07T08:10:44.000Z
ivy_dessert1147,美味😋😋😋👍❤,1 ,2022-01-07T07:56:28.000Z
kam2eat,嘖嘖的手很美❤️，我這個歐巴桑幾年前被這雙手迷倒😂,2 ,2022-01-07T07:38:52.000Z
alan.lina,謝謝貝蒂分享嘖嘖的新書^^,1 ,2022-01-07T07:38:29.000Z
