id,comment,like,timestamp
jay19991209,@glam__orous @chen_man_ru @hc.xzz @chih_k @rayxxie @c__jf28 @171_chiang,2 ,2022-04-21T08:40:26.000Z
debbiehsu1230,@wwwwwenli @loveforchip @__huang_huang__ @daysunfun @nancyhu0415 @shuan0830_ 喝啊哪次不喝🤣🤣🤣🤣🤣🤣🤣🤣,0,2022-04-21T10:38:16.000Z
pika_hsu,@fangtzushuo @chuchilee @leonsky @vinvin_wang @jungle__bali @yuwei_japan @scr194010 @nuknad3697 想去寒溪上課了,2 ,2022-04-21T11:25:30.000Z
z_n0519,@hsun_i_1004 @yanhongr @leiluosi @kao_7_3 @chu_nn__,1 ,2022-04-21T09:36:04.000Z
gd_bally_913,@changhan._ @achin.10.23 @kelvinlee_lkw @aamaris.ss @_cici.7,0,2022-04-21T08:35:46.000Z
oris0825,@asd52545856 @zaqwe1025 @mtpig0425 @ji.w.teng @aas97120 誰沒畢業,2 ,2022-04-21T13:17:50.000Z
rickyoyoyo,@ming.0428 @jiazhe_0105 @ooo__1123 @weishih1998,3 ,2022-04-21T08:57:35.000Z
chia__fannnnn,@joe_ch_1003 @_yyangc @uzero911 @po_hsun11_02 🦁️,0,2022-04-21T14:24:12.000Z
yuyullllooo,@ed.chang1991 @aceypass @hayden1991 @heehaw1991 同學👩‍🎓好～～～～🍷,4 ,2022-04-21T13:38:38.000Z
jipei1201,@miroro327 @huihsun_lai @chiuihc_lai @becca__hsieh 地利之便,2 ,2022-04-21T08:16:54.000Z
one821111,@lu_lin7916 @david___chen @qwe88450 @jason801218,0,2022-04-21T11:27:50.000Z
eddie_rondo,@wei_911 @alanliu_12 @fannnnnn_11 @jun__wang 我愛黑澀會上課囉,0,2022-04-21T09:22:55.000Z
xw1209,@tiantian_0307  @jay85.07.24  @mengching1111  @gaooaggg  學費多少？,0,2022-04-21T13:51:45.000Z
high7480,@zero012701 @no_donate_0809 @sky1997617,0,2022-04-21T08:02:39.000Z
shan__0613,@chensiann @ytt_revaan @tim40502,0,2022-04-21T15:52:03.000Z
aallentw2007,@a5989347 @cwl0206 @cathy204515 @stars880223 @chan_chan191919 你們這些一個個酒國博士🤣🤣🤣,2 ,2022-04-21T10:46:53.000Z
sayhi_emma,@x_199211 @ching801002 @szuyun819,0,2022-04-21T08:04:31.000Z
hunter.0802,@chang_rg  @tianjiayuan0309  @wubai10250330 你們是同學嗎,2 ,2022-04-21T08:16:31.000Z
yusco_0527,@wei2580  @alice03_22  @__09__03,0,2022-04-21T11:12:53.000Z
ktc0404,@sandy_826 @ping._.leo,1 ,2022-04-21T07:56:05.000Z
