id,comment,like,timestamp
gaetanociccarelli93,😬everyone🤫,249 ,2022-04-07T01:09:55.000Z
kenken710,😍😍👏👏👏,0,2022-04-10T10:17:11.000Z
its_enjoli_,Thats alot of freaking windows,0,2022-04-17T14:44:23.000Z
annamantchakidi,Beautiful town. Amazing memories 😍,0,2022-04-07T03:06:55.000Z
oalbertojerez,Wow wowwwwwwww 👁️👁️ today Isaw You 🤙🤙😍👹,1 ,2022-04-07T01:11:09.000Z
heybarkley,Fun fact: schwaebisch hall is also the name of a german building and loan association 🦊,0,2022-04-07T01:34:40.000Z
nastyaananastya,What’s “Fachwerk”?,0,2022-04-07T05:54:58.000Z
archist_galaxy,Hey there we are a new architecture magazine ✨ take a look and help us  with your feedback,0,2022-04-07T19:20:09.000Z
luxuryhotels_4u,Picture perfect 📸,0,2022-04-08T17:07:36.000Z
charmofjordan,Beautiful 😍😍😍😍,0,2022-04-07T06:32:41.000Z
julien_audigier,😍😍😍,0,2022-04-07T09:35:27.000Z
maellekervran,It’s wow 🙌,1 ,2022-04-07T04:52:01.000Z
xkariichan,Oh! That's my hometown 😂 I just love it ❤️,1 ,2022-04-07T09:23:51.000Z
____.sa.bri.na.____,👏😍,0,2022-04-07T09:57:02.000Z
nasreen__s,Wonderful thought 😍🌹🌷,0,2022-04-07T08:28:26.000Z
haciendahomeskochi,Super schön,0,2022-04-07T07:48:22.000Z
wiwa_b,Beautiful 😍,0,2022-04-07T03:49:22.000Z
wonderful_earth__,So beautiful 😍😍,0,2022-04-07T08:44:28.000Z
pictorlux,🙌🔥🙌,0,2022-04-07T13:33:42.000Z
m.h.el_k,Beautiful 😍,0,2022-04-07T04:37:32.000Z
xenia_psyllaki,Amazing,0,2022-04-07T01:10:47.000Z
mayepalacios05,😍😍,0,2022-04-07T01:11:21.000Z
eddieismyway,😍,0,2022-04-07T01:21:20.000Z
openupthemap,😍😍😍,0,2022-04-07T01:13:38.000Z
justinesoothin,😍❤️,0,2022-04-07T03:19:09.000Z
k8_fotografie,@orestistatej.94 👏,1 ,2022-04-08T09:46:21.000Z
pisaikas,@christina_metsou αναμνήσεις !,1 ,2022-04-07T19:20:23.000Z
chris.kitsos_,@demosstasinos Το κομποτι είναι καλύτερο,1 ,2022-04-07T02:13:12.000Z
love_tarvel_dm_3k,SEND IT ON👉@HEAVEN_OF_TRAVEL_,0,2022-04-07T01:09:58.000Z
yamwanto,@agneshdwg,1 ,2022-04-09T14:36:16.000Z
living_destinations,😍😍,0,2022-04-07T12:37:16.000Z
daniexfernando1,I'm overwhelmed to testify that this company paid me.. I didn't believe it not until I had my first withdrawals with @larissaforeveryone,0,2022-04-07T04:19:40.000Z
yunusofsteel,My birthplace❤️😂 Wounderful little town, highly reccommend a visit!,1 ,2022-04-08T21:10:00.000Z
dgirlyer123,I want to say a big thank you to doctor  @dr_asanu_spiritualhome for what h @dr_asanu_spiritualhome has done for me. I have been suffering since my husband left me and our kids for the past 18 months. I saw a lady's comment who narrated her story on how she got her marriage back through the help of doctor . I also took the same step, and to my greatest surprise, my husband came back to me. Please help me thank doctor @dr_asanu_spiritualhome,0,2022-04-07T01:09:58.000Z
kaiser.eiser,Germans have the best architecture.,1 ,2022-04-07T02:13:56.000Z
archie_win__fx,💲5000 for the first 5 people to DM “STRUGGLING”💯💰🥶,0,2022-04-07T01:10:34.000Z
archie_win__fx,💲5000 for the first 5 people to DM “STRUGGLING”💯💰🥶,0,2022-04-07T01:12:14.000Z
